module_0,MODULE_0_PASS
module_1,MODULE_1_BLOCKED_BY_LOCAL_MT5
module_2,MODULE_2_PASS
module_3,MODULE_3_NEEDS_MORE_DATA
module_4,MODULE_4_PASS (PARAMETER_NEAR_PASS)
module_5,MODULE_5_NEEDS_RUNTIME_DATA
module_6,PENDING
module_7,PENDING
module_8,BUILDING
