2020-04-01,60,OK,38.84
2020-04-02,60,OK,37.92
2020-04-03,60,OK,67.17
2020-04-06,60,OK,96.03
2020-04-07,60,OK,70.37
2020-04-08,60,OK,65.10
2020-04-09,60,OK,96.32
2020-04-09,60,OK,52.10
2020-04-13,60,OK,46.94
2020-04-14,60,OK,36.67
2020-04-15,60,OK,13.47
2020-04-16,60,OK,46.38
2020-04-17,60,OK,46.38
2020-04-20,60,OK,33.93
2021-01-04,60,OK,33.13
2020-04-21,60,OK,24.52
2020-04-22,60,OK,52.37
2022-07-01,60,OK,47.65
2020-04-23,60,OK,33.19
2020-04-24,60,OK,34.17
2020-04-27,60,OK,23.04
2020-04-28,60,OK,25.44
2020-04-01,1380,OK,23.39
2020-04-29,60,OK,23.76
2020-04-30,1380,OK,15.62
2020-04-02,1380,OK,15.75
2020-04-03,1260,OK,16.45
2020-04-06,1380,OK,16.84
2020-04-07,1378,OK,14.81
2020-04-08,1380,OK,16.74
2020-04-09,1259,OK,52.40
2020-04-10,0,EMPTY,18.48
2020-04-13,1380,OK,15.86
2020-04-14,1380,OK,15.44
2020-04-15,1380,OK,16.95
2020-04-16,1380,OK,34.23
2020-04-17,1200,OK,52.13
2020-04-20,1200,OK,71.92
2020-04-21,1380,OK,69.51
2020-04-20,1380,OK,86.68
2020-04-21,1320,OK,32.31
2020-04-22,1380,OK,99.97
2020-04-22,1380,OK,14.60
2020-04-23,1320,OK,119.59
2020-04-23,1380,OK,14.93
2020-04-24,1259,OK,15.43
2020-04-24,1259,OK,80.65
2020-04-24,1259,OK,34.56
2020-04-27,1380,OK,23.71
2020-04-28,1380,OK,23.80
2020-04-29,1380,OK,23.03
2020-05-01,1260,OK,31.97
2020-05-04,1380,OK,15.82
2020-05-04,1380,OK,14.92
2020-05-05,1380,OK,14.96
2020-05-06,1380,OK,16.89
2020-05-07,1380,OK,13.71
2020-05-08,1260,OK,15.22
2020-05-11,1380,OK,23.81
2020-04-10,0,EMPTY,52.14
2020-04-10,0,EMPTY,71.80
