mode,signals,trades,wr,pf,return,max_dd,dd_breaches,max_consecutive_losses,final_equity,signals_per_day
H1_only,578,578,0.3685,1.0096,0.069736,0,0,17,106973.63,1.0844
MTF_scanner,310,310,0.3645,0.9841,-0.036625,0.073802,0,13,96337.48,0.5816
