trade_id,fold,timestamp_entry,timestamp_exit,direction,regime,setup,alpha_proba,meta_proba,approved_risk,actual_risk_percent,risk_amount,lot_size,entry_price,sl_price,tp_price,exit_price,exit_reason,r_gross,r_net,pnl_gross,pnl_net,commission,total_cost,monetary_loss_at_sl,equity_before,equity_after,daily_dd_before,total_dd_before,decision_id
t05_00025,5,2025-02-25 10:00:00+00:00,2025-02-25 12:00:00+00:00,LONG,,FAILED_BREAKOUT,0.829413,0.831612,0.0021,0.001902,212.78,0.08,2932.3418,2908.2585,2980.5082,2937.475,TIMEOUT,0.192997,0.143237,41.07,30.48,0.56,10.59,192.67,101323.06,101353.54,0.0,0.000299,dec_20260711T124140875286
t05_00026,5,2025-03-03 17:00:00+00:00,2025-03-03 19:00:00+00:00,LONG,,CONTINUATION,0.891578,0.848949,0.0025,0.002336,253.38,0.08,2877.889,2848.2953,2937.0765,2890.865,TIMEOUT,0.409693,0.367764,103.81,93.18,0.56,10.62,236.75,101353.54,101446.72,0.0,0.0,dec_20260711T124141218533
t05_00027,5,2025-03-06 02:00:00+00:00,2025-03-06 04:00:00+00:00,LONG,,PULLBACK,0.697767,0.690313,0.003,0.002993,304.34,0.08,2918.9615,2881.012,2994.8604,2925.545,TIMEOUT,0.173056,0.135388,52.67,41.2,0.56,11.46,303.6,101446.72,101487.92,0.0,0.0,dec_20260711T124141408632
t05_00028,5,2025-03-12 18:00:00+00:00,2025-03-12 20:00:00+00:00,LONG,,CONTINUATION,0.815895,0.696076,0.003,0.002898,304.46,0.08,2925.9715,2889.2092,2999.4961,2935.695,TIMEOUT,0.255495,0.220469,77.79,67.12,0.56,10.66,294.1,101487.92,101555.05,0.0,0.0,dec_20260711T124141799493
t05_00029,5,2025-03-13 04:00:00+00:00,2025-03-13 06:00:00+00:00,LONG,,CONTINUATION,0.818204,0.745489,0.003,0.002724,304.67,0.08,2939.3665,2904.786,3008.5276,2945.14,TIMEOUT,0.1516,0.115811,46.19,35.28,0.56,10.9,276.64,101555.05,101590.33,0.0,0.0,dec_20260711T124141837240
t05_00030,5,2025-03-19 07:00:00+00:00,2025-03-19 09:00:00+00:00,LONG,,CONTINUATION,0.655542,0.65094,0.003,0.002799,304.77,0.13,3036.9515,3015.0799,3080.6947,3039.04,TIMEOUT,0.089085,0.030946,27.15,9.43,0.91,17.72,284.33,101590.33,101599.76,0.0,0.0,dec_20260711T124142200174
t05_00031,5,2025-03-19 08:00:00+00:00,2025-03-19 10:00:00+00:00,LONG,,CONTINUATION,0.739625,0.783773,0.003,0.002997,304.8,0.14,3037.1815,3015.4319,3080.6808,3035.2275,TIMEOUT,-0.089751,-0.152356,-27.36,-46.44,0.98,19.08,304.5,101599.76,101553.33,0.000457,0.000457,dec_20260711T124142205031
t05_00032,5,2025-03-25 17:00:00+00:00,2025-03-25 19:00:00+00:00,LONG,,CONTINUATION,0.668012,0.677302,0.0025,0.002217,253.88,0.07,3027.4815,2995.3179,3091.8086,3022.895,TIMEOUT,-0.126459,-0.163213,-32.11,-41.44,0.49,9.33,225.14,101553.33,101511.89,0.000408,0.000865,dec_20260711T124142517635
t05_00033,5,2025-03-27 12:00:00+00:00,2025-03-27 14:00:00+00:00,LONG,,CONTINUATION,0.810521,0.86941,0.0016,0.001286,162.42,0.04,3038.699,3006.0538,3103.9894,3054.655,TIMEOUT,0.392957,0.360251,63.82,58.51,0.28,5.31,130.58,101511.89,101570.4,0.0,0.000289,dec_20260711T124142661088
t05_00034,5,2025-03-28 08:00:00+00:00,2025-03-28 10:00:00+00:00,LONG,,CONTINUATION,0.77879,0.718344,0.003,0.002781,304.71,0.09,3076.5515,3045.1708,3139.3129,3076.8465,TIMEOUT,0.008713,-0.033022,2.66,-10.06,0.63,12.72,282.43,101570.4,101560.34,9.9e-05,0.000388,dec_20260711T124142744892
t05_00035,5,2025-03-31 08:00:00+00:00,2025-03-31 10:00:00+00:00,LONG,,CONTINUATION,0.839086,0.741084,0.003,0.002806,304.68,0.06,3113.949,3066.4536,3208.9397,3124.435,TIMEOUT,0.206499,0.179559,62.92,54.71,0.42,8.21,284.97,101560.34,101615.05,0.0,0.0,dec_20260711T124142825580
t05_00036,5,2025-04-01 05:00:00+00:00,2025-04-01 07:00:00+00:00,LONG,,CONTINUATION,0.868073,0.737385,0.003,0.00296,304.85,0.08,3136.059,3098.4647,3211.2476,3144.76,TIMEOUT,0.228335,0.193223,69.61,58.9,0.56,10.7,300.75,101615.05,101673.95,0.0,0.0,dec_20260711T124142907028
t05_00037,5,2025-04-03 01:00:00+00:00,2025-04-03 03:00:00+00:00,LONG,,CONTINUATION,0.717079,0.801041,0.0025,0.002037,254.18,0.04,3141.9665,3090.1963,3245.5069,3151.245,TIMEOUT,0.146015,0.125352,37.11,31.86,0.28,5.25,207.08,101673.95,101705.81,0.0,0.0,dec_20260711T124143063211
t05_00038,5,2025-04-09 12:00:00+00:00,2025-04-09 14:00:00+00:00,LONG,,CONTINUATION,0.68798,0.809045,0.0025,0.00234,254.26,0.03,3044.7065,2965.3754,3203.3686,3066.655,TIMEOUT,0.258969,0.243359,65.85,61.88,0.21,3.97,237.99,101705.81,101767.69,0.0,0.0,dec_20260711T124143478224
t05_00039,5,2025-04-10 13:00:00+00:00,2025-04-10 15:00:00+00:00,LONG,,CONTINUATION,0.785788,0.772113,0.003,0.002973,305.3,0.04,3117.3615,3041.7176,3268.6494,3123.0625,TIMEOUT,0.074694,0.05736,22.8,17.51,0.28,5.29,302.58,101767.69,101785.2,0.0,0.0,dec_20260711T124143567331
t05_00040,5,2025-04-10 14:00:00+00:00,2025-04-10 16:00:00+00:00,LONG,,CONTINUATION,0.686683,0.844623,0.003,0.002882,305.36,0.04,3120.839,3047.5047,3267.5076,3117.0125,TIMEOUT,-0.050124,-0.067127,-15.31,-20.5,0.28,5.19,293.34,101785.2,101764.7,0.000201,0.000201,dec_20260711T124143572444
t05_00041,5,2025-04-11 12:00:00+00:00,2025-04-11 14:00:00+00:00,LONG,,CONTINUATION,0.591167,0.654007,0.003,0.002255,305.29,0.03,3216.534,3140.0374,3369.5272,3213.8175,TIMEOUT,-0.026694,-0.039449,-8.15,-12.04,0.21,3.89,229.49,101764.7,101752.66,0.000118,0.00032,dec_20260711T124143610307
t05_00042,5,2025-04-16 03:00:00+00:00,2025-04-16 05:00:00+00:00,LONG,,CONTINUATION,0.892596,0.833325,0.0016,0.00135,162.8,0.03,3252.484,3206.6851,3344.0819,3267.7375,TIMEOUT,0.281084,0.256612,45.76,41.78,0.21,3.98,137.4,101752.66,101794.44,0.0,0.0,dec_20260711T124143830180
t05_00043,5,2025-04-16 10:00:00+00:00,2025-04-16 12:00:00+00:00,LONG,,CONTINUATION,0.64573,0.763591,0.003,0.002534,305.38,0.04,3292.824,3228.3402,3421.7915,3303.59,TIMEOUT,0.141018,0.123754,43.06,37.79,0.28,5.27,257.94,101794.44,101832.23,0.0,0.0,dec_20260711T124143863903
t05_00044,5,2025-04-21 12:00:00+00:00,2025-04-21 14:00:00+00:00,SHORT,,LIQUIDITY_SWEEP,0.428762,0.68003,0.003,0.002644,305.5,0.05,3392.176,3446.0303,3284.4674,3404.46,TIMEOUT,-0.201047,-0.222946,-61.42,-68.11,0.35,6.69,269.27,101832.23,101764.12,0.000669,0.000669,dec_20260711T124144011160
t05_00045,5,2025-04-22 06:00:00+00:00,2025-04-22 08:00:00+00:00,LONG,,CONTINUATION,0.589107,0.709811,0.003,0.002477,305.29,0.03,3473.6115,3389.5906,3641.6533,3494.325,TIMEOUT,0.203546,0.190447,62.14,58.14,0.21,4.0,252.06,101764.12,101822.26,0.0,9.8e-05,dec_20260711T124144067880
t05_00046,5,2025-04-24 20:00:00+00:00,2025-04-24 22:00:00+00:00,LONG,,CONTINUATION,0.695393,0.665969,0.0025,0.002353,254.56,0.04,3332.2715,3272.3638,3452.0869,3342.2725,TIMEOUT,0.15715,0.135889,40.0,34.59,0.28,5.41,239.63,101822.26,101856.85,0.0,0.0,dec_20260711T124144336168
t05_00047,5,2025-04-24 21:00:00+00:00,2025-04-24 23:00:00+00:00,LONG,,CONTINUATION,0.747484,0.80589,0.0025,0.002298,254.64,0.04,3337.3942,3278.8889,3454.405,3348.8085,TIMEOUT,0.1793,0.15796,45.66,40.22,0.28,5.43,234.02,101856.85,101897.08,0.0,0.0,dec_20260711T124144341583
t05_00048,5,2025-04-28 20:00:00+00:00,2025-04-28 22:00:00+00:00,LONG,,CONTINUATION,0.879262,0.79436,0.0025,0.002238,254.74,0.03,3337.349,3261.3301,3489.3869,3352.085,TIMEOUT,0.173542,0.157667,44.21,40.16,0.21,4.04,228.06,101897.08,101937.24,0.0,0.0,dec_20260711T124144530583
t05_00049,5,2025-05-02 05:00:00+00:00,2025-05-02 07:00:00+00:00,LONG,,CONTINUATION,0.919184,0.913654,0.0025,0.002175,254.84,0.04,3237.1417,3181.7117,3348.0017,3251.87,TIMEOUT,0.231176,0.209775,58.91,53.46,0.28,5.45,221.72,101937.24,101990.7,0.0,0.0,dec_20260711T124144868898
t05_00050,5,2025-05-02 09:00:00+00:00,2025-05-02 11:00:00+00:00,LONG,,CONTINUATION,0.678438,0.752872,0.0025,0.00235,254.98,0.05,3252.5015,3204.5708,3348.3629,3258.15,TIMEOUT,0.110764,0.084036,28.24,21.43,0.35,6.81,239.65,101990.7,102012.13,0.0,0.0,dec_20260711T124144889940
t05_00051,5,2025-05-05 12:00:00+00:00,2025-05-05 14:00:00+00:00,LONG,,CONTINUATION,0.893965,0.925282,0.003,0.002773,306.04,0.04,3283.3415,3212.6276,3424.7694,3312.91,TIMEOUT,0.386466,0.369043,118.27,112.94,0.28,5.33,282.86,102012.13,102125.07,0.0,0.0,dec_20260711T124144944261
t05_00052,5,2025-05-05 21:00:00+00:00,2025-05-05 23:00:00+00:00,LONG,,CONTINUATION,0.866342,0.831209,0.003,0.002829,306.38,0.04,3317.664,3245.4242,3462.1436,3333.835,TIMEOUT,0.211123,0.193394,64.68,59.25,0.28,5.43,288.96,102125.07,102184.32,0.0,0.0,dec_20260711T124144996496
t05_00053,5,2025-05-06 08:00:00+00:00,2025-05-06 10:00:00+00:00,LONG,,CONTINUATION,0.792188,0.729201,0.003,0.002926,306.55,0.04,3363.749,3288.9961,3513.2547,3371.26,TIMEOUT,0.098007,0.080679,30.04,24.73,0.28,5.31,299.01,102184.32,102209.05,0.0,0.0,dec_20260711T124145032247
t05_00054,5,2025-05-06 10:00:00+00:00,2025-05-06 12:00:00+00:00,LONG,,CONTINUATION,0.787561,0.822992,0.003,0.002316,306.63,0.03,3365.374,3286.4544,3523.2133,3383.2,TIMEOUT,0.174406,0.161413,53.48,49.49,0.21,3.98,236.76,102209.05,102258.55,0.0,0.0,dec_20260711T124145042720
t05_00055,5,2025-05-13 07:00:00+00:00,2025-05-13 09:00:00+00:00,LONG,,CONTINUATION,0.912071,0.932,0.0025,0.002195,255.65,0.04,3237.3515,3181.2326,3349.5894,3261.985,TIMEOUT,0.385425,0.364099,98.53,93.08,0.28,5.45,224.48,102258.55,102351.63,0.0,0.0,dec_20260711T124145474203
t05_00056,5,2025-05-15 23:00:00+00:00,2025-05-16 02:00:00+00:00,LONG,,CONTINUATION,0.863785,0.804441,0.0025,0.002407,255.88,0.03,3232.604,3150.4688,3396.8744,3237.1075,TIMEOUT,0.0528,0.036879,13.51,9.44,0.21,4.07,246.41,102351.63,102361.06,0.0,0.0,dec_20260711T124145771308
t05_00057,5,2025-05-19 09:00:00+00:00,2025-05-19 11:00:00+00:00,LONG,,CONTINUATION,0.902061,0.860969,0.003,0.00292,307.08,0.05,3224.7215,3164.9486,3344.2672,3244.44,TIMEOUT,0.321065,0.298872,98.59,91.78,0.35,6.81,298.86,102361.06,102452.84,0.0,0.0,dec_20260711T124145916098
