source,month,risk_mode,rolling_7d_pct,rolling_14d_pct,rolling_30d_pct,rolling_60d_pct,target_5_30d,target_8_30d,target_10_30d,target_10_weekly
canonical,2025-02,fixed_0.01_lot,0.06,0.11,0.25,0.49,False,False,False,False
canonical,2025-03,fixed_0.01_lot,0.17,0.34,0.72,1.44,False,False,False,False
canonical,2025-04,fixed_0.01_lot,0.79,1.57,3.38,6.76,False,False,False,False
canonical,2025-05,fixed_0.01_lot,0.7,1.39,2.99,5.98,False,False,False,False
canonical,2025-06,fixed_0.01_lot,0.23,0.46,0.99,1.98,False,False,False,False
canonical,2025-07,fixed_0.01_lot,0.22,0.43,0.93,1.86,False,False,False,False
canonical,2025-08,fixed_0.01_lot,0.07,0.15,0.32,0.64,False,False,False,False
canonical,2025-09,fixed_0.01_lot,0.56,1.12,2.41,4.83,False,False,False,False
canonical,2025-10,fixed_0.01_lot,0.8,1.61,3.46,6.91,False,False,False,False
canonical,2025-11,fixed_0.01_lot,0.36,0.72,1.55,3.1,False,False,False,False
canonical,2025-12,fixed_0.01_lot,0.31,0.62,1.34,2.68,False,False,False,False
canonical,2020-01,0.25pct_equity,0.12,0.24,0.51,1.02,False,False,False,False
canonical,2020-02,0.25pct_equity,0.18,0.37,0.79,1.58,False,False,False,False
canonical,2020-03,0.25pct_equity,0.55,1.11,2.39,4.77,False,False,False,False
canonical,2020-04,0.25pct_equity,0.23,0.46,0.99,1.98,False,False,False,False
canonical,2020-05,0.25pct_equity,0.18,0.35,0.76,1.52,False,False,False,False
canonical,2020-06,0.25pct_equity,0.1,0.21,0.45,0.89,False,False,False,False
canonical,2020-07,0.25pct_equity,0.48,0.95,2.05,4.09,False,False,False,False
canonical,2020-08,0.25pct_equity,0.44,0.87,1.88,3.75,False,False,False,False
canonical,2020-09,0.25pct_equity,0.07,0.14,0.31,0.62,False,False,False,False
canonical,2020-10,0.25pct_equity,0.08,0.16,0.35,0.69,False,False,False,False
canonical,2020-11,0.25pct_equity,0.35,0.71,1.52,3.03,False,False,False,False
canonical,2020-12,0.25pct_equity,0.3,0.61,1.3,2.61,False,False,False,False
canonical,2021-01,0.25pct_equity,0.14,0.28,0.61,1.22,False,False,False,False
canonical,2021-02,0.25pct_equity,0.32,0.64,1.37,2.75,False,False,False,False
canonical,2021-03,0.25pct_equity,0.08,0.16,0.35,0.7,False,False,False,False
canonical,2021-04,0.25pct_equity,0.18,0.35,0.76,1.53,False,False,False,False
canonical,2021-05,0.25pct_equity,0.14,0.28,0.6,1.2,False,False,False,False
canonical,2021-06,0.25pct_equity,0.11,0.22,0.48,0.95,False,False,False,False
canonical,2021-07,0.25pct_equity,0.19,0.38,0.82,1.65,False,False,False,False
canonical,2021-08,0.25pct_equity,0.32,0.63,1.36,2.72,False,False,False,False
canonical,2021-09,0.25pct_equity,0.05,0.1,0.2,0.41,False,False,False,False
canonical,2021-10,0.25pct_equity,0.03,0.06,0.13,0.25,False,False,False,False
canonical,2021-11,0.25pct_equity,0.29,0.58,1.26,2.51,False,False,False,False
canonical,2021-12,0.25pct_equity,0.08,0.16,0.34,0.69,False,False,False,False
canonical,2022-01,0.25pct_equity,0.26,0.52,1.12,2.24,False,False,False,False
canonical,2022-02,0.25pct_equity,0.18,0.35,0.76,1.52,False,False,False,False
canonical,2022-03,0.25pct_equity,0.32,0.63,1.36,2.73,False,False,False,False
canonical,2022-04,0.25pct_equity,0.16,0.31,0.67,1.34,False,False,False,False
canonical,2022-05,0.25pct_equity,0.19,0.38,0.81,1.61,False,False,False,False
canonical,2022-06,0.25pct_equity,0.09,0.18,0.39,0.79,False,False,False,False
canonical,2022-07,0.25pct_equity,0.29,0.58,1.25,2.5,False,False,False,False
canonical,2022-08,0.25pct_equity,0.16,0.32,0.68,1.36,False,False,False,False
canonical,2022-09,0.25pct_equity,0.33,0.65,1.4,2.8,False,False,False,False
canonical,2022-10,0.25pct_equity,0.28,0.56,1.2,2.39,False,False,False,False
canonical,2022-11,0.25pct_equity,0.16,0.32,0.68,1.36,False,False,False,False
canonical,2022-12,0.25pct_equity,0.0,0.0,0.0,0.01,False,False,False,False
canonical,2023-01,0.25pct_equity,0.01,0.01,0.03,0.06,False,False,False,False
canonical,2023-02,0.25pct_equity,0.17,0.34,0.72,1.44,False,False,False,False
canonical,2023-03,0.25pct_equity,0.18,0.36,0.77,1.54,False,False,False,False
canonical,2023-04,0.25pct_equity,0.04,0.09,0.19,0.39,False,False,False,False
canonical,2023-05,0.25pct_equity,0.16,0.32,0.69,1.38,False,False,False,False
canonical,2023-06,0.25pct_equity,0.01,0.01,0.03,0.06,False,False,False,False
canonical,2023-07,0.25pct_equity,0.02,0.03,0.07,0.14,False,False,False,False
canonical,2023-08,0.25pct_equity,0.1,0.21,0.44,0.89,False,False,False,False
canonical,2023-09,0.25pct_equity,0.2,0.41,0.87,1.75,False,False,False,False
canonical,2023-10,0.25pct_equity,0.33,0.66,1.42,2.84,False,False,False,False
canonical,2023-11,0.25pct_equity,0.0,0.01,0.01,0.03,False,False,False,False
canonical,2023-12,0.25pct_equity,0.27,0.54,1.17,2.34,False,False,False,False
canonical,2024-01,0.25pct_equity,0.06,0.13,0.28,0.55,False,False,False,False
canonical,2024-02,0.25pct_equity,0.06,0.12,0.26,0.52,False,False,False,False
canonical,2024-03,0.25pct_equity,0.39,0.77,1.67,3.33,False,False,False,False
canonical,2024-04,0.25pct_equity,0.42,0.84,1.81,3.62,False,False,False,False
canonical,2024-05,0.25pct_equity,0.45,0.91,1.96,3.91,False,False,False,False
canonical,2024-06,0.25pct_equity,-0.19,-0.39,-0.84,-1.67,False,False,False,False
canonical,2024-07,0.25pct_equity,0.64,1.29,2.77,5.53,False,False,False,False
canonical,2024-08,0.25pct_equity,0.06,0.11,0.24,0.48,False,False,False,False
canonical,2024-09,0.25pct_equity,0.29,0.59,1.26,2.52,False,False,False,False
canonical,2024-10,0.25pct_equity,0.14,0.28,0.6,1.2,False,False,False,False
canonical,2024-11,0.25pct_equity,0.53,1.06,2.28,4.56,False,False,False,False
canonical,2024-12,0.25pct_equity,0.1,0.2,0.42,0.84,False,False,False,False
canonical,2025-01,0.25pct_equity,0.36,0.71,1.54,3.07,False,False,False,False
canonical,2025-02,0.25pct_equity,0.14,0.29,0.61,1.23,False,False,False,False
canonical,2025-03,0.25pct_equity,0.42,0.84,1.8,3.61,False,False,False,False
canonical,2025-04,0.25pct_equity,1.97,3.93,8.45,16.9,True,True,False,False
canonical,2025-05,0.25pct_equity,1.74,3.48,7.48,14.96,True,False,False,False
canonical,2025-06,0.25pct_equity,0.57,1.15,2.47,4.94,False,False,False,False
canonical,2025-07,0.25pct_equity,0.54,1.08,2.33,4.65,False,False,False,False
canonical,2025-08,0.25pct_equity,0.18,0.37,0.79,1.59,False,False,False,False
canonical,2025-09,0.25pct_equity,1.4,2.81,6.04,12.07,True,False,False,False
