trade_id,fold,segment,timestamp_entry,timestamp_exit,direction,regime,setup,alpha_proba,meta_proba,approved_risk,actual_risk_percent,risk_amount,lot_size,entry_price,sl_price,tp_price,exit_price,exit_reason,r_gross,r_net,pnl_gross,pnl_net,commission,total_cost,monetary_loss_at_sl,equity_before,equity_after,daily_dd_before,total_dd_before,decision_id
t99_00014,99,retrospective_2026,2026-02-06 14:00:00+00:00,2026-02-06 16:00:00+00:00,LONG,,CONTINUATION,0.656603,0.7906,0.0025,0.00227,251.98,0.01,4888.5582,4659.7457,5346.1832,4948.325,TIMEOUT,0.237188,0.231329,59.77,58.29,0.07,1.48,228.81,100792.61,100850.9,0.0,0.0,dec_20260713T104638982266
t99_00015,99,retrospective_2026,2026-02-11 08:00:00+00:00,2026-02-11 10:00:00+00:00,LONG,,CONTINUATION,0.789855,0.79156,0.003,0.002929,302.55,0.04,5053.4767,4979.6184,5201.1935,5053.7,TIMEOUT,0.002952,-0.017323,0.89,-5.24,0.28,6.13,295.43,100850.9,100845.66,5.2e-05,5.2e-05,dec_20260713T104639131325
t99_00016,99,retrospective_2026,2026-02-11 13:00:00+00:00,2026-02-11 15:00:00+00:00,LONG,,CONTINUATION,0.705595,0.7006,0.003,0.002564,302.54,0.03,5093.9042,5007.7164,5266.28,5065.825,TIMEOUT,-0.278435,-0.293195,-84.24,-88.7,0.21,4.47,258.56,100845.66,100756.95,0.000932,0.000932,dec_20260713T104639140682
t99_00017,99,retrospective_2026,2026-02-13 15:00:00+00:00,2026-02-13 17:00:00+00:00,LONG,,CONTINUATION,0.833018,0.829408,0.0014,0.001304,141.06,0.01,4970.4493,4839.0223,5233.3032,4976.905,TIMEOUT,0.045766,0.035001,6.46,4.94,0.07,1.52,131.43,100756.95,100761.89,0.0,0.000883,dec_20260713T104639238516
t99_00018,99,retrospective_2026,2026-02-13 16:00:00+00:00,2026-02-13 18:00:00+00:00,LONG,,CONTINUATION,0.648945,0.671768,0.0025,0.002467,251.9,0.02,4987.7618,4863.4946,5236.296,5007.99,TIMEOUT,0.160605,0.148827,40.46,37.49,0.14,2.97,248.53,100761.89,100799.38,0.0,0.000511,dec_20260713T104639243454
t99_00019,99,retrospective_2026,2026-02-18 15:00:00+00:00,2026-02-18 17:00:00+00:00,LONG,,CONTINUATION,0.80034,0.87528,0.0025,0.00189,252.0,0.02,4943.7818,4848.5157,5134.3139,4998.04,TIMEOUT,0.430621,0.418768,108.52,105.53,0.14,2.99,190.53,100799.38,100904.91,0.0,0.0,dec_20260713T104639398330
t99_00020,99,retrospective_2026,2026-02-18 16:00:00+00:00,2026-02-18 18:00:00+00:00,LONG,,CONTINUATION,0.880234,0.912116,0.0025,0.001983,252.26,0.02,4955.2092,4855.1444,5155.3389,5000.39,TIMEOUT,0.358208,0.346327,90.36,87.36,0.14,3.0,200.13,100904.91,100992.27,0.0,0.0,dec_20260713T104639401304
t99_00021,99,retrospective_2026,2026-02-19 06:00:00+00:00,2026-02-19 08:00:00+00:00,LONG,,PULLBACK,0.75762,0.788363,0.003,0.002934,302.98,0.04,4982.3093,4908.2182,5130.4914,5018.35,TIMEOUT,0.475817,0.454845,144.16,137.81,0.28,6.35,296.36,100992.27,101130.08,0.0,0.0,dec_20260713T104639418171
t99_00022,99,retrospective_2026,2026-02-19 08:00:00+00:00,2026-02-19 10:00:00+00:00,LONG,,CONTINUATION,0.832791,0.871874,0.003,0.00262,303.39,0.04,4997.6493,4931.4034,5130.141,5017.105,TIMEOUT,0.256511,0.236491,77.82,71.75,0.28,6.07,264.98,101130.08,101201.83,0.0,0.0,dec_20260713T104639427309
t99_00023,99,retrospective_2026,2026-02-20 08:00:00+00:00,2026-02-20 10:00:00+00:00,LONG,,CONTINUATION,0.752445,0.751638,0.003,0.00285,303.61,0.04,5012.7968,4940.6798,5157.0307,5028.92,TIMEOUT,0.212421,0.19248,64.49,58.44,0.28,6.05,288.47,101201.83,101260.27,0.0,0.0,dec_20260713T104639453694
