month,trades,net_profit,win_rate
2021-09,2,251.46,1.0
2021-10,14,702.97,0.8571
2021-11,14,431.98,0.7857
2021-12,19,-291.81,0.4737
2022-01,14,670.94,0.5714
2023-06,9,178.37,0.6667
2023-07,15,961.56,0.8
2023-08,4,-80.66,0.0
2025-03,16,84.69,0.5
2026-01,12,733.55,0.8333
2026-02,16,578.43,0.75
2026-03,18,695.7,0.9444
2026-04,18,624.67,0.8889
2026-05,17,519.59,0.8235
2026-06,10,134.65,0.7
